operation_type|scheduled_start_time|actual_start_time|execution_duration_MILLISECONDS|result_code|original_start_time
LdbcSnbBiQuery2TopTags|1602918420005|1602918933587|153|1|12
LdbcSnbBiQuery15SocialNormals|1602918420005|1602918933740|2|2|12
LdbcSnbBiQuery8RelatedTopics|1602918420005|1602918933743|99|100|12
LdbcSnbBiQuery18PersonPostCounts|1602918420005|1602918933843|11731|571|12
LdbcSnbBiQuery7AuthoritativeUsers|1602918420005|1602918945575|1650|100|12
LdbcSnbBiQuery19StrangerInteraction|1602918420005|1602918947225|29598|100|12
LdbcSnbBiQuery3TagEvolution|1602918420005|1602918976824|538|100|12
LdbcSnbBiQuery20HighLevelTopics|1602918420005|1602918977363|1099|3|12
LdbcSnbBiQuery4PopularCountryTopics|1602918420005|1602918978462|26|20|12
LdbcSnbBiQuery10TagPerson|1602918420005|1602918978488|93|100|12
LdbcSnbBiQuery22InternationalDialog|1602918420005|1602918978582|1871|39|12
LdbcSnbBiQuery6ActivePosters|1602918420005|1602918980454|106|100|12
LdbcSnbBiQuery17FriendshipTriangles|1602918420005|1602918980560|7|1|12
LdbcSnbBiQuery9RelatedForums|1602918420005|1602918980567|560|32|12
LdbcSnbBiQuery5TopCountryPosters|1602918420005|1602918981128|158|100|12
LdbcSnbBiQuery14TopThreadInitiators|1602918420005|1602918981286|561|100|12
LdbcSnbBiQuery1PostingSummary|1602918420005|1602918981847|1827|12|12
LdbcSnbBiQuery21Zombies|1602918420005|1602918983674|54|8|12
LdbcSnbBiQuery23HolidayDestinations|1602918420005|1602918983729|19|100|12
LdbcSnbBiQuery21Zombies|1602918420005|1602918983748|50|6|13
LdbcSnbBiQuery23HolidayDestinations|1602918420005|1602918983798|18|100|13
LdbcSnbBiQuery10TagPerson|1602918420005|1602918983817|96|100|13
LdbcSnbBiQuery15SocialNormals|1602918420005|1602918983913|2|1|13
LdbcSnbBiQuery24MessagesByTopic|1602918420005|1602918983915|813|100|13
LdbcSnbBiQuery11UnrelatedReplies|1602918420005|1602918984729|1142|100|13
LdbcSnbBiQuery12TrendingPosts|1602918420005|1602918985872|1818|100|13
LdbcSnbBiQuery2TopTags|1602918420005|1602918987691|146|1|13
LdbcSnbBiQuery25WeightedPaths|1602918420005|1602918987838|6716|11|13
LdbcSnbBiQuery13PopularMonthlyTags|1602918420005|1602918994554|298|33|13
LdbcSnbBiQuery4PopularCountryTopics|1602918420005|1602918994852|23|20|13
LdbcSnbBiQuery7AuthoritativeUsers|1602918420005|1602918994876|1754|100|13
LdbcSnbBiQuery8RelatedTopics|1602918420005|1602918996631|128|100|13
LdbcSnbBiQuery18PersonPostCounts|1602918420005|1602918996759|11789|571|13
LdbcSnbBiQuery20HighLevelTopics|1602918420005|1602919008549|1362|3|13
LdbcSnbBiQuery19StrangerInteraction|1602918420005|1602919009912|25361|100|13
LdbcSnbBiQuery3TagEvolution|1602918420005|1602919035274|593|100|13
LdbcSnbBiQuery1PostingSummary|1602918420005|1602919035867|1797|12|13
LdbcSnbBiQuery17FriendshipTriangles|1602918420005|1602919037665|7|1|13
